ID;Netzbetreiber;VSE-ID;Kategorie;Netznutzung;Energie;Abgabe;KEV;Total exkl. MWST
11;Aare Versorgungs AG;10120012345;H1;17,68084821;8,750706845;1,15;0,6;28,18155506
11;Aare Versorgungs AG;10120012345;H2;14,812;8,61;1,15;0,6;25,172
11;Aare Versorgungs AG;10120012345;H3;11,18;7,361111111;1,15;0,6;20,29111111
11;Aare Versorgungs AG;10120012345;H4;12,6902381;8,619642857;1,15;0,6;23,05988095
11;Aare Versorgungs AG;10120012345;H5;10,29585714;7,513214286;1,15;0,6;19,55907143
11;Aare Versorgungs AG;10120012345;H6;7,736757143;6,313964286;1,15;0,6;15,80072143
11;Aare Versorgungs AG;10120012345;H7;9,414532967;7,528777473;1,15;0,6;18,69331044
11;Aare Versorgungs AG;10120012345;H8;11,62428571;8,620238095;1,15;0,6;21,99452381
11;Aare Versorgungs AG;10120012345;C1;13,21578125;10,02981771;1,15;0,6;24,99559896
11;Aare Versorgungs AG;10120012345;C2;11,18106076;9,956423611;1,15;0,6;22,88748438
11;Aare Versorgungs AG;10120012345;C3;8,55;9,798666667;1,15;0,6;20,09866667
11;Aare Versorgungs AG;10120012345;C4;7,798;8,90855;1,15;0,6;18,45655
11;Aare Versorgungs AG;10120012345;C5;6,674;8,90855;0;0,6;16,18255
11;Aare Versorgungs AG;10120012345;C6;5,798;8,764508333;0;0,6;15,16250833
11;Aare Versorgungs AG;10120012345;C7;5,01992;8,057541143;0;0,6;13,67746114
2;Acqua Gas Elettricità SA Chiasso;10175012345;H1;14,658;9,801;0;0,6;25,059
2;Acqua Gas Elettricità SA Chiasso;10175012345;H2;11,83704;9,64728;0;0,6;22,08432
2;Acqua Gas Elettricità SA Chiasso;10175012345;H3;8,669466667;8,332933333;0;0,6;17,6024
2;Acqua Gas Elettricità SA Chiasso;10175012345;H4;9,655066667;9,585466667;0;0,6;19,84053333
2;Acqua Gas Elettricità SA Chiasso;10175012345;H5;7,70008;8,45656;0;0,6;16,75664
2;Acqua Gas Elettricità SA Chiasso;10175012345;H6;5,607024;7,219968;0;0,6;13,426992
2;Acqua Gas Elettricità SA Chiasso;10175012345;H7;7,237015385;8,728338462;0;0,6;16,56535385
2;Acqua Gas Elettricità SA Chiasso;10175012345;H8;8,58904;9,58628;0;0,6;18,77532
2;Acqua Gas Elettricità SA Chiasso;10175012345;C1;8,8416;10,034325;0;0,6;19,475925
2;Acqua Gas Elettricità SA Chiasso;10175012345;C2;7,67224;9,94618;0;0,6;18,21842
2;Acqua Gas Elettricità SA Chiasso;10175012345;C3;8,7506;8,120266667;0;0,6;17,47086667
2;Acqua Gas Elettricità SA Chiasso;10175012345;C4;8,22492;7,04252;0;0,6;15,86744
2;Acqua Gas Elettricità SA Chiasso;10175012345;C5;5,76916;7,054;0;0,6;13,42316
2;Acqua Gas Elettricità SA Chiasso;10175012345;C6;5,587266667;7,194633333;0;0,6;13,3819
2;Acqua Gas Elettricità SA Chiasso;10175012345;C7;5,125031829;6,743020498;0;0,6;12,46805233
3;Administration Communale Courchapoix;10819012345;H1;15,39;10,2;1,2;0,6;27,39
3;Administration Communale Courchapoix;10819012345;H2;12,796;9,1924;1,2;0,6;23,7884
3;Administration Communale Courchapoix;10819012345;H3;9,393333333;8,106888889;1,2;0,6;19,30022222
3;Administration Communale Courchapoix;10819012345;H4;10,74333333;9,171888889;1,2;0,6;21,71522222
3;Administration Communale Courchapoix;10819012345;H5;8,529;8,224433333;1,2;0,6;18,55343333
3;Administration Communale Courchapoix;10819012345;H6;6,1567;7,19233;1,2;0,6;15,14903
3;Administration Communale Courchapoix;10819012345;H7;7,863653846;8,059480769;1,2;0,6;17,72313462
3;Administration Communale Courchapoix;10819012345;H8;9,73075;9,172480556;1,2;0,6;20,70323056
3;Administration Communale Courchapoix;10819012345;C1;10,28640625;9,685776042;1,2;0,6;21,77218229
3;Administration Communale Courchapoix;10819012345;C3;9,519235556;8,523027778;1,2;0,6;19,84226333
3;Administration Communale Courchapoix;10819012345;C4;7,738245333;8,079591667;1,2;0,6;17,617837
4;AEK Energie AG;10270012345;H1;15,16;8,7703125;1,1;0,6;25,6303125
4;AEK Energie AG;10270012345;H2;12,55362857;8,657428571;1,1;0,6;22,91105714
4;AEK Energie AG;10270012345;H3;8,769793651;7,565238095;1,1;0,6;18,03503175
4;AEK Energie AG;10270012345;H4;9,968436508;8,650714286;1,1;0,6;20,31915079
4;AEK Energie AG;10270012345;H5;7,619304762;7,690571429;1,1;0,6;17,00987619
4;AEK Energie AG;10270012345;H6;5,113791429;6,647171429;1,1;0,6;13,46096286
4;AEK Energie AG;10270012345;H7;7,101634615;7,9625;1,1;0,6;16,76413462
4;AEK Energie AG;10270012345;H8;8,680165476;8,65127381;1,1;0,6;19,03143929
4;AEK Energie AG;10270012345;C1;9,8855625;9,346333333;1,1;0,6;20,93189583
4;AEK Energie AG;10270012345;C2;8,4860425;9,125855556;1,1;0,6;19,31189806
4;AEK Energie AG;10270012345;C3;8,573027778;8,795277778;1;0,6;18,96830556
4;AEK Energie AG;10270012345;C4;7,749591667;8,286416667;1;0,6;17,63600833
4;AEK Energie AG;10270012345;C5;5,073643333;8,286416667;0,06;0,6;14,02006
4;AEK Energie AG;10270012345;C6;4,56754;8,1965;0,02;0,6;13,38404
4;AEK Energie AG;10270012345;C7;3,947167072;7,744445114;0;0,6;12,29161219
5;AEW Energie AG;10117012345;H1;14,51380952;7,62953869;0,832428571;0,6;23,57577679
5;AEW Energie AG;10117012345;H2;11,75771429;7,585714286;0,667062857;0,6;20,61049143
5;AEW Energie AG;10117012345;H3;8,94984127;7,058730159;0,498590476;0,6;17,1071619
5;AEW Energie AG;10117012345;H4;9,655365079;7,609920635;0,540921905;0,6;18,40620762
5;AEW Energie AG;10117012345;H5;7,978361905;7,133095238;0,440301714;0,6;16,15175886
5;AEW Energie AG;10117012345;H6;5,620682857;6,378725714;0,298840971;0,6;12,89824954
5;AEW Energie AG;10117012345;H7;7,387549451;7,077714286;0,40560956;0,6;15,4708733
5;AEW Energie AG;10117012345;H8;8,588952381;7,610119048;0,476937143;0,6;17,27600857
5;AEW Energie AG;10117012345;C1;9,39;8,3140625;0,525;0,6;18,8290625
5;AEW Energie AG;10117012345;C2;8,2368;8,2725;0,455808;0,6;17,565108
5;AEW Energie AG;10117012345;C3;8,28;7,794916667;0,4584;0,6;17,13331667
5;AEW Energie AG;10117012345;C4;7,4337;7,365223333;0,407622;0,6;15,80654533
5;AEW Energie AG;10117012345;C5;4,008666667;7,365223333;0,185276667;0,6;12,15916667
5;AEW Energie AG;10117012345;C6;3,754444444;8,118877222;0,171294444;0,6;12,64461611
5;AEW Energie AG;10117012345;C7;3,419288094;7,061833437;0,152860845;0,6;11,23398238
6;AG Elektrizitätswerk Maienfeld;10256012345;H1;18,34;8,1;0,25;0,6;27,29
6;AG Elektrizitätswerk Maienfeld;10256012345;H2;16,18;8,1;0,25;0,6;25,13
6;AG Elektrizitätswerk Maienfeld;10256012345;H3;11,96222222;6,737460317;0,25;0,6;19,54968254
6;AG Elektrizitätswerk Maienfeld;10256012345;H4;12,81777778;7,29968254;0,25;0,6;20,96746032
6;AG Elektrizitätswerk Maienfeld;10256012345;H5;10,12666667;6,792952381;0,25;0,6;17,76961905
6;AG Elektrizitätswerk Maienfeld;10256012345;H6;7,266;6,237885714;0,25;0,6;14,35388571
6;AG Elektrizitätswerk Maienfeld;10256012345;H7;9,093846154;6,914945055;0,25;0,6;16,85879121
6;AG Elektrizitätswerk Maienfeld;10256012345;H8;10,89833333;7,300047619;0,25;0,6;19,04838095
6;AG Elektrizitätswerk Maienfeld;10256012345;C1;11,693125;7,940625;0,25;0,6;20,48375
6;AG Elektrizitätswerk Maienfeld;10256012345;C2;9,687166667;7,923566667;0,25;0,6;18,46073333
6;AG Elektrizitätswerk Maienfeld;10256012345;C3;10,432;7,692;0,25;0,6;18,974
6;AG Elektrizitätswerk Maienfeld;10256012345;C4;9,8162;7,4162;0,25;0,6;18,0824
6;AG Elektrizitätswerk Maienfeld;10256012345;C5;8,2862;7,144;0,25;0,6;16,2802
