ID;Netzbetreiber;VSE-ID;Kategorie;Netznutzung;Energie;Abgabe;KEV;Total exkl. MWST
2;Acqua Gas Elettricità SA Chiasso;10175012345;H1;15,5245;5,937;2;0,45;23,9115
2;Acqua Gas Elettricità SA Chiasso;10175012345;H2;12,68296;5,82696;2;0,45;20,95992
2;Acqua Gas Elettricità SA Chiasso;10175012345;H3;9,339422222;4,886088889;2;0,45;16,67551111
2;Acqua Gas Elettricità SA Chiasso;10175012345;H4;10,49271111;5,782711111;2;0,45;18,72542222
2;Acqua Gas Elettricità SA Chiasso;10175012345;H5;8,386586667;4,974586667;2;0,45;15,81117333
2;Acqua Gas Elettricità SA Chiasso;10175012345;H6;6,127976;4,089376;2;0,45;12,667352
2;Acqua Gas Elettricità SA Chiasso;10175012345;H7;7,959907692;5,169138462;2;0,45;15,57904615
2;Acqua Gas Elettricità SA Chiasso;10175012345;H8;9,426793333;5,783293333;2;0,45;17,66008667
2;Acqua Gas Elettricità SA Chiasso;10175012345;C1;9,7393375;6,104025;2;0,45;18,2933625
2;Acqua Gas Elettricità SA Chiasso;10175012345;C2;8,558176667;6,040926667;2;0,45;17,04910333
2;Acqua Gas Elettricità SA Chiasso;10175012345;C3;9,442866667;5,090066667;2;0,45;16,98293333
2;Acqua Gas Elettricità SA Chiasso;10175012345;C4;8,86684;4,81788;2;0,45;16,13472
2;Acqua Gas Elettricità SA Chiasso;10175012345;C5;6,49108;4,82716;2;0,45;13,76824
2;Acqua Gas Elettricità SA Chiasso;10175012345;C6;6,272133333;5,070466667;2;0,45;13,7926
2;Acqua Gas Elettricità SA Chiasso;10175012345;C7;5,764844193;4,820337611;2;0,45;13,0351818
3;Administration Communale Courchapoix;10819012345;H1;19,85;10,25;0;0,45;30,55
3;Administration Communale Courchapoix;10819012345;H2;16,61;10,25;0;0,45;27,31
3;Administration Communale Courchapoix;10819012345;H3;11,12364444;8,309777778;0;0,45;19,88342222
3;Administration Communale Courchapoix;10819012345;H4;14,05;10,25;0;0,45;24,75
3;Administration Communale Courchapoix;10819012345;H5;9,586506667;8,440566667;0;0,45;18,47707333
3;Administration Communale Courchapoix;10819012345;H7;7,696061538;8,203403846;0;0,45;16,34946538
3;Administration Communale Courchapoix;10819012345;H8;10,95383111;9,495436111;0;0,45;20,89926722
3;Administration Communale Courchapoix;10819012345;C4;5,413451667;8,684141667;0;0,45;14,54759333
4;AEK Energie AG;10270012345;H1;18,775;10,45;1,1;0,45;30,775
4;AEK Energie AG;10270012345;H2;15,11942857;9,96;1,1;0,45;26,62942857
4;AEK Energie AG;10270012345;H3;9,821904762;8,933333333;1,1;0,45;20,3052381
4;AEK Energie AG;10270012345;H4;11,71571429;9,741666667;1,1;0,45;23,00738095
4;AEK Energie AG;10270012345;H5;8,344571429;8,92;1,1;0,45;18,81457143
4;AEK Energie AG;10270012345;H6;4,743371429;7,739371429;1,1;0,45;14,03274286
4;AEK Energie AG;10270012345;H7;7,742692308;9,054807692;1,1;0,45;18,3475
4;AEK Energie AG;10270012345;H8;10,02069048;9,635416667;1,1;0,45;21,20610714
4;AEK Energie AG;10270012345;C1;11,95708333;10,51979167;1,1;0,45;24,026875
4;AEK Energie AG;10270012345;C2;11,56680278;10,21594167;1;0,45;23,23274444
4;AEK Energie AG;10270012345;C3;9,607527778;9,695277778;1;0,45;20,75280556
4;AEK Energie AG;10270012345;C4;8,645241667;9,186416667;1;0,45;19,28165833
4;AEK Energie AG;10270012345;C5;5,817846667;9,186416667;0,06;0,45;15,51426333
4;AEK Energie AG;10270012345;C6;5,128;9,5965;0,02;0,45;15,1945
4;AEK Energie AG;10270012345;C7;4,35968;9,144445114;0,004;0,45;13,95812511
5;AEW Energie AG;10117012345;H1;14,97962798;6,936622024;0,87;0,45;23,23625
5;AEW Energie AG;10117012345;H2;11,83028571;6,853714286;0,69;0,45;19,824
5;AEW Energie AG;10117012345;H3;8,77015873;5,846507937;0,5;0,45;15,56666667
5;AEW Energie AG;10117012345;H4;9,403634921;6,895031746;0,54;0,45;17,28866667
5;AEW Energie AG;10117012345;H5;7,629038095;5,984161905;0,43;0,45;14,4932
5;AEW Energie AG;10117012345;H6;5,111885714;4,519031429;0,28;0,45;10,36091714
5;AEW Energie AG;10117012345;H7;6,711868132;5,945197802;0,38;0,45;13,48706593
5;AEW Energie AG;10117012345;H8;8,170547619;6,895452381;0,47;0,45;15,986
5;AEW Energie AG;10117012345;C1;8,8584375;8,2378125;0,51;0,45;18,05625
5;AEW Energie AG;10117012345;C2;7,5519;8,1497;0,43;0,45;16,5816
5;AEW Energie AG;10117012345;C3;7,624;8,183875067;0,43;0,45;16,68787507
5;AEW Energie AG;10117012345;C4;7,3957;7,79147;0,42;0,45;16,05717
5;AEW Energie AG;10117012345;C5;4,708933333;7,79147;0,24;0,45;13,19040333
5;AEW Energie AG;10117012345;C6;4,219555556;7,830341667;0,21;0,45;12,70989722
5;AEW Energie AG;10117012345;C7;3,657750475;7,354395672;0,18;0,45;11,64214615
6;AG Elektrizitätswerk Maienfeld;10256012345;H1;19,817;9,33;1,5;0,45;31,097
6;AG Elektrizitätswerk Maienfeld;10256012345;H2;15,808;9,33;1,5;0,45;27,088
6;AG Elektrizitätswerk Maienfeld;10256012345;H3;12,53766667;6,92;1,5;0,45;21,40766667
6;AG Elektrizitätswerk Maienfeld;10256012345;H4;12,64;9,33;1,5;0,45;23,92
6;AG Elektrizitätswerk Maienfeld;10256012345;H5;10,275;7,072;1,5;0,45;19,297
6;AG Elektrizitätswerk Maienfeld;10256012345;H6;6,3866;5,5516;1,5;0,45;13,8882
6;AG Elektrizitätswerk Maienfeld;10256012345;H7;9,052846154;7,406153846;1,5;0,45;18,409
6;AG Elektrizitätswerk Maienfeld;10256012345;H8;11,525;8,461;1,5;0,45;21,936
6;AG Elektrizitätswerk Maienfeld;10256012345;C1;10,907;9,33;1,5;0,45;22,187
6;AG Elektrizitätswerk Maienfeld;10256012345;C2;9,2235;8,9035;1,5;0,45;20,077
6;AG Elektrizitätswerk Maienfeld;10256012345;C3;10,11716667;8,838333333;1,5;0,45;20,9055
6;AG Elektrizitätswerk Maienfeld;10256012345;C4;9,3744;8,091;1,5;0,45;19,4154
6;AG Elektrizitätswerk Maienfeld;10256012345;C5;7,2692;7,9154;1,5;0,45;17,1346
6;AG Elektrizitätswerk Maienfeld;10256012345;C6;7,058333333;8,647;1,5;0,45;17,65533333
6;AG Elektrizitätswerk Maienfeld;10256012345;C7;6,48104157;7,875260209;1,5;0,45;16,30630178
7;Alpen Energie;10751012345;H1;11,205;8,02;0;0,45;19,675
7;Alpen Energie;10751012345;H2;10,0168;7,9512;0;0,45;18,418
7;Alpen Energie;10751012345;H3;7,209333333;7,217333333;0;0,45;14,87666667
7;Alpen Energie;10751012345;H4;9,189333333;7,937333333;0;0,45;17,57666667
7;Alpen Energie;10751012345;H5;7,0332;7,2968;0;0,45;14,78
7;Alpen Energie;10751012345;H6;4,55046;5,79936;0;0,45;10,79982
7;Alpen Energie;10751012345;H7;7,021653846;6,377230769;0;0,45;13,84888462
7;Alpen Energie;10751012345;H8;8,795766667;7,937733333;0;0,45;17,1835
7;Alpen Energie;10751012345;C1;9,7130625;8,28475;0;0,45;18,4478125
7;Alpen Energie;10751012345;C2;9,139366667;8,224133333;0;0,45;17,8135
7;Alpen Energie;10751012345;C3;9,608888889;6,798944444;0;0,45;16,85783333
11;Alpiq Versorgungs AG (AVAG);10120012345;H1;17,9096875;8,309629464;1,15;0,45;27,81931696
11;Alpiq Versorgungs AG (AVAG);10120012345;H2;15,0316;8,161788571;1,15;0,45;24,79338857
11;Alpiq Versorgungs AG (AVAG);10120012345;H3;11,32866667;6,858771429;1,15;0,45;19,7874381
11;Alpiq Versorgungs AG (AVAG);10120012345;H4;12,90966667;8,171252381;1,15;0,45;22,68091905
11;Alpiq Versorgungs AG (AVAG);10120012345;H5;10,41818095;6,989265714;1,15;0,45;19,00744667
11;Alpiq Versorgungs AG (AVAG);10120012345;H6;7,815454286;5,757779714;1,15;0,45;15,173234
11;Alpiq Versorgungs AG (AVAG);10120012345;H7;9,551615385;7,073364835;1,15;0,45;18,22498022
11;Alpiq Versorgungs AG (AVAG);10120012345;H8;11,84375;8,171875;1,15;0,45;21,615625
11;Alpiq Versorgungs AG (AVAG);10120012345;C1;13,52546875;9,650984375;1,15;0,45;24,77645313
11;Alpiq Versorgungs AG (AVAG);10120012345;C2;11,33408333;9,575258333;1,15;0,45;22,50934167
11;Alpiq Versorgungs AG (AVAG);10120012345;C3;9,75;9,600266667;1,15;0,45;20,95026667
11;Alpiq Versorgungs AG (AVAG);10120012345;C4;8,25;8,81847;1,15;0,45;18,66847
11;Alpiq Versorgungs AG (AVAG);10120012345;C5;6,54;8,81847;0;0,45;15,80847
11;Alpiq Versorgungs AG (AVAG);10120012345;C6;5,68;9,023773333;0;0,45;15,15377333
11;Alpiq Versorgungs AG (AVAG);10120012345;C7;4,9256;8,167333636;0;0,45;13,54293364
8;AMS Aziende Municipalizzate Stabio;10015012345;H1;13,39;4,94;2;0,45;20,78
8;AMS Aziende Municipalizzate Stabio;10015012345;H2;11,23;4,94;2;0,45;18,62
8;AMS Aziende Municipalizzate Stabio;10015012345;H3;8,082577778;4,94;2;0,45;15,47257778
8;AMS Aziende Municipalizzate Stabio;10015012345;H4;9,393288889;4,94;2;0,45;16,78328889
8;AMS Aziende Municipalizzate Stabio;10015012345;H5;7,358613333;4,94;2;0,45;14,74861333
8;AMS Aziende Municipalizzate Stabio;10015012345;H6;5,168584;4,94;2;0,45;12,558584
8;AMS Aziende Municipalizzate Stabio;10015012345;H7;7,101476923;4,94;2;0,45;14,49147692
8;AMS Aziende Municipalizzate Stabio;10015012345;H8;8,540806667;4,94;2;0,45;15,93080667
8;AMS Aziende Municipalizzate Stabio;10015012345;C1;8,9296625;4,94;2;0,45;16,3196625
