ID;Netzbetreiber;VSE-ID;Kategorie;Netznutzung;Energie;Abgabe;KEV;Total exkl. MWST
11;Aare Versorgungs AG;10120012345;H1;17,63166518;8,119579613;1,15;1,5;28,40124479
11;Aare Versorgungs AG;10120012345;H2;14,75944;8,0042;1,15;1,5;25,41364
11;Aare Versorgungs AG;10120012345;H3;11,09746667;6,980111111;1,15;1,5;20,72757778
11;Aare Versorgungs AG;10120012345;H4;12,63790952;8,012107143;1,15;1,5;23,30001667
11;Aare Versorgungs AG;10120012345;H5;10,21697429;7,104835714;1,15;1,5;19,97181
11;Aare Versorgungs AG;10120012345;H6;7,629092286;6,121450714;1,15;1,5;16,400543
11;Aare Versorgungs AG;10120012345;H7;9,386199451;7,383037088;1,15;1,5;19,41923654
11;Aare Versorgungs AG;10120012345;H8;11,57197143;8,012595238;1,15;1,5;22,23456667
11;Aare Versorgungs AG;10120012345;C1;13,19729688;9,168450521;1,15;1,5;25,0157474
11;Aare Versorgungs AG;10120012345;C2;11,18418924;9,108267361;1,15;1,5;22,9424566
11;Aare Versorgungs AG;10120012345;C3;8,42;9,000944444;1,15;1,5;20,07094444
11;Aare Versorgungs AG;10120012345;C4;7,664;8,448925;1,15;1,5;18,762925
11;Aare Versorgungs AG;10120012345;C5;6,018;8,448925;0;1,5;15,966925
11;Aare Versorgungs AG;10120012345;C6;5,426;8,686781944;0;1,5;15,61278194
11;Aare Versorgungs AG;10120012345;C7;4,7572;7,996647307;0;1,5;14,25384731
2;Acqua Gas Elettricità SA Chiasso;10175012345;H1;15,3735;8,6375;2;1,5;27,511
2;Acqua Gas Elettricità SA Chiasso;10175012345;H2;12,53448;8,5052;2;1,5;24,53968
2;Acqua Gas Elettricità SA Chiasso;10175012345;H3;9,212488889;7,374;2;1,5;20,08648889
2;Acqua Gas Elettricità SA Chiasso;10175012345;H4;10,34524444;8,452;2;1,5;22,29724444
2;Acqua Gas Elettricità SA Chiasso;10175012345;H5;8,257626667;7,4804;2;1,5;19,23802667
2;Acqua Gas Elettricità SA Chiasso;10175012345;H6;6,019288;6,41612;2;1,5;15,935408
2;Acqua Gas Elettricità SA Chiasso;10175012345;H7;7,826492308;7,714307692;2;1,5;19,0408
2;Acqua Gas Elettricità SA Chiasso;10175012345;H8;9,279313333;8,4527;2;1,5;21,23201333
2;Acqua Gas Elettricità SA Chiasso;10175012345;C1;9,5845125;8,8383125;2;1,5;21,922825
2;Acqua Gas Elettricità SA Chiasso;10175012345;C2;8,404796667;8,76245;2;1,5;20,66724667
2;Acqua Gas Elettricità SA Chiasso;10175012345;C3;9,4046;7,119733333;2;1,5;20,02433333
