ID;Netzbetreiber;VSE-ID;Kategorie;Netznutzung;Energie;Abgabe;KEV;Total exkl. MWST
2;Acqua Gas Elettricità SA Chiasso;10175012345;H1;13,428;11,779;2;0,45;27,657
2;Acqua Gas Elettricità SA Chiasso;10175012345;H2;10,62384;11,58832;2;0,45;24,66216
2;Acqua Gas Elettricità SA Chiasso;10175012345;H3;7,599911111;9,957955556;2;0,45;20,00786667
2;Acqua Gas Elettricità SA Chiasso;10175012345;H4;8,448622222;11,51164444;2;0,45;22,41026667
2;Acqua Gas Elettricità SA Chiasso;10175012345;H5;6,617013333;10,11130667;2;0,45;19,17832
2;Acqua Gas Elettricità SA Chiasso;10175012345;H6;4,659104;8,577392;2;0,45;15,686496
2;Acqua Gas Elettricità SA Chiasso;10175012345;H7;6,124246154;10,44843077;2;0,45;19,02267692
2;Acqua Gas Elettricità SA Chiasso;10175012345;H8;7,382506667;11,51265333;2;0,45;21,34516
2;Acqua Gas Elettricità SA Chiasso;10175012345;C1;7,5861;12,068425;2;0,45;22,104525
2;Acqua Gas Elettricità SA Chiasso;10175012345;C2;6,426373333;11,95908667;2;0,45;20,83546
2;Acqua Gas Elettricità SA Chiasso;10175012345;C3;7,555733333;9,810866667;2;0,45;19,8166
2;Acqua Gas Elettricità SA Chiasso;10175012345;C4;7,07568;8,64344;2;0,45;18,16912
2;Acqua Gas Elettricità SA Chiasso;10175012345;C5;5,22624;8,66224;2;0,45;16,33848
2;Acqua Gas Elettricità SA Chiasso;10175012345;C6;5,140733333;8,8787;2;0,45;16,46943333
2;Acqua Gas Elettricità SA Chiasso;10175012345;C7;4,684712882;8,344746544;2;0,45;15,47945943
3;Administration Communale Courchapoix;10819012345;H1;14,71;10,9;1,2;0,45;27,26
3;Administration Communale Courchapoix;10819012345;H2;12,194;9,8144;1,2;0,45;23,6584
3;Administration Communale Courchapoix;10819012345;H3;8,867777778;8,652444444;1,2;0,45;19,17022222
3;Administration Communale Courchapoix;10819012345;H4;10,14277778;9,792444444;1,2;0,45;21,58522222
3;Administration Communale Courchapoix;10819012345;H5;7,995166667;8,778266667;1,2;0,45;18,42343333
3;Administration Communale Courchapoix;10819012345;H6;5,69555;7,67348;1,2;0,45;15,01903
3;Administration Communale Courchapoix;10819012345;H7;7,424903846;8,518230769;1,2;0,45;17,59313462
3;Administration Communale Courchapoix;10819012345;H8;9,130152778;9,793077778;1,2;0,45;20,57323056
3;Administration Communale Courchapoix;10819012345;C1;9,649661458;10,34252083;1,2;0,45;21,64218229
3;Administration Communale Courchapoix;10819012345;C3;9,099194444;9,171194444;1,2;0,45;19,92038889
3;Administration Communale Courchapoix;10819012345;C4;7,325341667;8,684141667;1,2;0,45;17,65948333
4;AEK Energie AG;10270012345;H1;14,56;9,9703125;1,1;0,45;26,0803125
4;AEK Energie AG;10270012345;H2;12,01528571;9,857428571;1,1;0,45;23,42271429
4;AEK Energie AG;10270012345;H3;8,186269841;8,765238095;1,1;0,45;18,50150794
4;AEK Energie AG;10270012345;H4;9,421865079;9,850714286;1,1;0,45;20,82257937
4;AEK Energie AG;10270012345;H5;7,040047619;8,890571429;1,1;0,45;17,48061905
4;AEK Energie AG;10270012345;H6;4,499014286;7,847171429;1,1;0,45;13,89618571
4;AEK Energie AG;10270012345;H7;6,531634615;9,1625;1,1;0,45;17,24413462
4;AEK Energie AG;10270012345;H8;8,133613095;9,85127381;1,1;0,45;19,5348869
4;AEK Energie AG;10270012345;C1;9,379895833;11,05229167;1,1;0,45;21,9821875
4;AEK Energie AG;10270012345;C2;9,824908333;10,32585556;1;0,45;21,60076389
4;AEK Energie AG;10270012345;C3;7,877583333;9,995277778;1;0,45;19,32286111
4;AEK Energie AG;10270012345;C4;7,083225;9,486416667;1;0,45;18,01964167
4;AEK Energie AG;10270012345;C5;5,033476667;9,486416667;0,06;0,45;15,02989333
4;AEK Energie AG;10270012345;C6;4,448;9,3965;0,02;0,45;14,3145
4;AEK Energie AG;10270012345;C7;3,72896;8,944445114;0,004;0,45;13,12740511
5;AEW Energie AG;10117012345;H1;13,43708333;8,580357143;0,787625;0,45;23,25506548
5;AEW Energie AG;10117012345;H2;10,688;8,538285714;0,62268;0,45;20,29896571
5;AEW Energie AG;10117012345;H3;7,964444444;8,032380952;0,459266667;0,45;16,90609206
5;AEW Energie AG;10117012345;H4;8,581777778;8,56152381;0,496306667;0,45;18,08960825
5;AEW Energie AG;10117012345;H5;6,981066667;8,103771429;0,400264;0,45;15,9351021
5;AEW Energie AG;10117012345;H6;4,705494286;7,233124286;0,263729657;0,45;12,65234823
5;AEW Energie AG;10117012345;H7;6,364824176;7,945554945;0,363289451;0,45;15,12366857
5;AEW Energie AG;10117012345;H8;7,515333333;8,561714286;0,43232;0,45;16,95936762
5;AEW Energie AG;10117012345;C1;8,20375;9,2375;0,473625;0,45;18,364875
5;AEW Energie AG;10117012345;C2;7,0572;9,1976;0,404832;0,45;17,109632
5;AEW Energie AG;10117012345;C3;7,291333333;8,70625;0,41888;0,45;16,86646333
5;AEW Energie AG;10117012345;C4;6,463266667;8,912933333;0,369196;0,45;16,195396
5;AEW Energie AG;10117012345;C5;3,362933333;8,912933333;0,167911333;0,45;12,893778
5;AEW Energie AG;10117012345;C6;3,107555556;8,811997222;0,153865556;0,45;12,52341833
5;AEW Energie AG;10117012345;C7;2,805670475;8,351044817;0,137261876;0,45;11,74397717
6;AG Elektrizitätswerk Maienfeld;10256012345;H1;17,61;10;0,25;0,45;28,31
6;AG Elektrizitätswerk Maienfeld;10256012345;H2;14,91;10;0,25;0,45;25,61
6;AG Elektrizitätswerk Maienfeld;10256012345;H3;11,3284127;7,926031746;0,25;0,45;19,95444444
6;AG Elektrizitätswerk Maienfeld;10256012345;H4;12,25730159;8,708253968;0,25;0,45;21,66555556
6;AG Elektrizitätswerk Maienfeld;10256012345;H5;9,180095238;7,98152381;0,25;0,45;17,86161905
6;AG Elektrizitätswerk Maienfeld;10256012345;H6;5,911028571;7,230971429;0,25;0,45;13,842
6;AG Elektrizitätswerk Maienfeld;10256012345;H7;7,96010989;8,172967033;0,25;0,45;16,83307692
6;AG Elektrizitätswerk Maienfeld;10256012345;H8;10,01790476;8,708761905;0,25;0,45;19,42666667
6;AG Elektrizitätswerk Maienfeld;10256012345;C1;10,58725;9,6;0,25;0,45;20,88725
6;AG Elektrizitätswerk Maienfeld;10256012345;C2;8,528066667;9,576266667;0,25;0,45;18,80433333
6;AG Elektrizitätswerk Maienfeld;10256012345;C3;9,419333333;9,488;0,25;0,45;19,60733333
6;AG Elektrizitätswerk Maienfeld;10256012345;C4;8,7396;9,0743;0,25;0,45;18,5139
6;AG Elektrizitätswerk Maienfeld;10256012345;C5;7,2674;8,416;0,25;0,45;16,3834
6;AG Elektrizitätswerk Maienfeld;10256012345;C6;6,9968;8,662;0,25;0,45;16,3588
6;AG Elektrizitätswerk Maienfeld;10256012345;C7;6,375395659;8,079295683;0,25;0,45;15,15469134
7;Alpen Energie;10751012345;H1;12,985;8,7;0;0,45;22,135
7;Alpen Energie;10751012345;H2;9,9268;7,9512;0;0,45;18,328
7;Alpen Energie;10751012345;H3;7,119333333;7,217333333;0;0,45;14,78666667
7;Alpen Energie;10751012345;H4;9,099333333;7,937333333;0;0,45;17,48666667
7;Alpen Energie;10751012345;H5;6,9432;7,2968;0;0,45;14,69
7;Alpen Energie;10751012345;H6;4,60996;6,59904;0;0,45;11,659
7;Alpen Energie;10751012345;H7;6,714730769;6,377230769;0;0,45;13,54196154
7;Alpen Energie;10751012345;H8;8,705766667;7,937733333;0;0,45;17,0935
7;Alpen Energie;10751012345;C1;9,6230625;8,28475;0;0,45;18,3578125
7;Alpen Energie;10751012345;C2;11,69136667;7,282755556;0;0,45;19,42412222
7;Alpen Energie;10751012345;C3;9,518888889;6,798944444;0;0,45;16,76783333
7;Alpen Energie;10751012345;C4;8,472783333;6,377316667;0;0,45;15,3001
11;Alpiq Versorgungs AG (AVAG);10120012345;H1;17,95510193;9,381834077;1,15;0,45;28,93693601
11;Alpiq Versorgungs AG (AVAG);10120012345;H2;15,07556;9,2158;1,15;0,45;25,89136
11;Alpiq Versorgungs AG (AVAG);10120012345;H3;11,34864444;7,742111111;1,15;0,45;20,69075556
11;Alpiq Versorgungs AG (AVAG);10120012345;H4;12,95453095;9,227178571;1,15;0,45;23,78170952
11;Alpiq Versorgungs AG (AVAG);10120012345;H5;10,47606143;7,921592857;1,15;0,45;19,99765429
11;Alpiq Versorgungs AG (AVAG);10120012345;H6;7,825818429;6,506477857;1,15;0,45;15,93229629
11;Alpiq Versorgungs AG (AVAG);10120012345;H7;9,577727747;7,997072802;1,15;0,45;19,17480055
11;Alpiq Versorgungs AG (AVAG);10120012345;H8;11,88862381;9,227880952;1,15;0,45;22,71650476
11;Alpiq Versorgungs AG (AVAG);10120012345;C1;13,5872474;10,8911849;1,15;0,45;26,07843229
11;Alpiq Versorgungs AG (AVAG);10120012345;C2;11,4105691;10,80457986;1,15;0,45;23,81514896
11;Alpiq Versorgungs AG (AVAG);10120012345;C3;8,8;10,67447222;1,15;0,45;21,07447222
11;Alpiq Versorgungs AG (AVAG);10120012345;C4;8,028;9,68395;1,15;0,45;19,31195
11;Alpiq Versorgungs AG (AVAG);10120012345;C5;5,82;9,68395;0;0,45;15,95395
11;Alpiq Versorgungs AG (AVAG);10120012345;C6;4,96;9,752909028;0;0,45;15,16290903
11;Alpiq Versorgungs AG (AVAG);10120012345;C7;4,2056;8,886032592;0;0,45;13,54163259
8;AMS Aziende Municipalizzate Stabio;10015012345;H1;12,61;8,92;2;0,45;23,98
8;AMS Aziende Municipalizzate Stabio;10015012345;H2;10,45;8,92;2;0,45;21,82
8;AMS Aziende Municipalizzate Stabio;10015012345;H3;7,261396825;8,92;2;0,45;18,63139683
8;AMS Aziende Municipalizzate Stabio;10015012345;H4;7,986857143;8,92;2;0,45;19,35685714
8;AMS Aziende Municipalizzate Stabio;10015012345;H5;6,499371429;8,92;2;0,45;17,86937143
8;AMS Aziende Municipalizzate Stabio;10015012345;H6;4,966217143;8,92;2;0,45;16,33621714
8;AMS Aziende Municipalizzate Stabio;10015012345;H7;6,055467033;8,92;2;0,45;17,42546703
8;AMS Aziende Municipalizzate Stabio;10015012345;H8;6,961696032;8,92;2;0,45;18,33169603
8;AMS Aziende Municipalizzate Stabio;10015012345;C1;7,81;8,92;2;0,45;19,18
8;AMS Aziende Municipalizzate Stabio;10015012345;C2;6,93;8,92;2;0,45;18,3
8;AMS Aziende Municipalizzate Stabio;10015012345;C3;6,814533333;8,92;1,666666667;0,45;17,8512
8;AMS Aziende Municipalizzate Stabio;10015012345;C4;6,46726;8,07;1,2;0,45;16,18726
